"# Test started at Fri Jan 15 19:40:45 2021, vbus = 14.879 V"
time [s],velocity setpoint [Hz],velocity measured [Hz],motor current [A],load cell weight [g],motor torque [Nm],brake torque [Nm]
0.007239289999915854,10.0,1.2817384004592896,5.17158842086792,-2.747918684562446,0.348584994179717,-0.0034235494515358145
0.09811339499992755,10.0,10.147095680236816,1.4873292446136475,-2.9307746413910056,0.2135709836436206,-0.0036513642024698116
0.18869934999997895,10.0,11.062623023986816,1.6672685146331787,7.40058691942261,-0.03812752828370236,0.009220169225301047
0.2795004909999079,10.0,10.482789039611816,0.3000708818435669,-3.159344587426705,0.03939468428584725,-0.003936132641137309
0.37027913299994,10.0,10.086060523986816,1.5037921667099,-6.1307538858907975,0.11755284639111352,-0.007638122343814768
0.46109591999993427,10.0,9.872437477111816,1.288362979888916,-2.7022046953553063,0.11268985160679534,-0.0033665957638023157
0.5518957259999979,10.0,9.918213844299316,0.6979888677597046,-3.5707704902909643,0.048905817295006315,-0.004448715830738804
0.642721865999988,10.0,9.887696266174316,1.2148983478546143,-3.205058576633845,0.12540434312423798,-0.003993086328870809
0.7335265789999994,10.0,10.009766578674316,1.1231184005737305,-1.7422109220053685,0.08047677146216792,-0.002170568321398829
0.8243197189999592,10.0,10.009766578674316,-0.391715943813324,-0.1422212997554724,0.07740091840204855,-0.00017718925072635045
0.9151373019999482,10.0,9.963990211486816,1.5660065412521362,2.9206159771229,0.07877548277598123,0.0036387078274181073
1.0059227559999044,10.0,10.055542945861816,1.5474214553833008,2.96632996633004,0.09492881399825848,0.0036956615151516074
1.0967259139999896,10.0,10.101319313049316,0.9086148738861084,0.7263444951801855,0.040807486856362374,0.0009049308162101378
1.1875130720000016,10.0,9.979249000549316,2.0451390743255615,-1.6964969327982287,0.13048991875296068,-0.0021136146336653296
1.278338711999936,10.0,9.979249000549316,1.7315912246704102,-0.7365031594482909,0.13511226622748396,-0.0009175871912618423
1.3691129989999808,10.0,9.918213844299316,1.3750128746032715,-0.8279311378625708,0.09606610546006422,-0.0010314945667288411
1.459926487999951,10.0,10.025025367736816,0.7881092429161072,-1.467926986762529,0.09792323856244067,-0.0018288461949978324
1.5507204959999399,10.0,9.979249000549316,1.1480008363723755,1.5491963009087035,0.13059350977517425,0.0019300971954131268
1.6415193179999505,10.0,9.857178688049316,1.32145094871521,3.423469858401439,0.11073604549512339,0.004265198392486601
1.7323318259999496,10.0,10.055542945861816,1.3521347045898438,3.514897836815719,0.10279501275308078,0.0043791057679536
1.8231532969999762,10.0,10.055542945861816,0.9776631593704224,1.320626354873004,0.07852019814532873,0.0016453287567456296
1.9139343409999583,10.0,10.055542945861816,1.9255430698394775,-0.9650731054839904,0.12156357184585076,-0.0012023556299293392
2.0047367749999694,10.0,10.025025367736816,1.209930181503296,-1.4222129975553892,0.08210583410269479,-0.0017718925072643327
2.0955435049999096,10.0,10.009766578674316,0.709602952003479,-1.0107870946911304,0.06905566964909404,-0.0012593093176628386
2.186341289999973,10.0,9.948731422424316,2.196949005126953,0.4520605599373462,0.14807564694637065,0.0005632086898091415
2.2771566129999883,10.0,10.009766578674316,0.9885320067405701,1.0463424196301647,0.1366172575413671,0.0013036066303446336
2.3679570829999648,10.0,9.948731422424316,1.3499550819396973,1.320626354873004,0.02773437600092077,0.0016453287567456296
2.458822144999999,10.0,10.025025367736816,1.6911898851394653,3.240613901572879,0.08891333798564105,0.004037383641552603
2.6403933039999856,10.0,9.796143531799316,1.1970301866531372,1.5949102901158434,0.11141345333847141,0.001987050883146626
2.73119890199996,10.0,10.025025367736816,2.021908760070801,2.326334117430082,0.1279940987716266,0.0028983098868826163
2.821997888999931,10.0,10.238648414611816,0.5441304445266724,2.4634760850515014,0.03178124185192033,0.003069170950083114
2.912829024999951,10.0,9.979249000549316,1.5091735124588013,2.097764171394382,0.12815944425735637,0.0026135414482151187
3.003626474999919,10.0,9.994507789611816,1.378732681274414,2.234906139015802,0.10393061203906484,0.0027844025114156174
3.094454128999928,10.0,10.086060523986816,1.9329479932785034,3.6977537936442784,0.13777935430992372,0.004606920518887597
3.185231485999907,10.0,10.055542945861816,1.1779980659484863,4.474891610165656,0.11952398237399464,0.005575133210357087
3.2760749359999863,10.0,9.963990211486816,1.1757498979568481,-642.2409137032423,0.1540900777915688,-0.8001486871554584
3.457658667999908,10.0,10.131836891174316,1.1371793746948242,-0.00507933213405274,0.12294639801938345,-6.328187525852288e-06
3.548453763999987,10.0,9.963990211486816,0.8015047907829285,-0.690789170241151,0.16698485571184918,-0.0008606335035283429
3.6392898599999626,10.0,9.857178688049316,1.7285536527633667,-1.1936430515196899,0.12257061553926363,-0.001487124068596836
3.730081992999999,10.0,9.979249000549316,0.8316413760185242,-1.6964969327982287,0.06912851781821772,-0.0021136146336653296
3.820868885999971,10.0,10.009766578674316,0.9413051009178162,-0.8736451270697106,0.05949882300781084,-0.0010884482544623406
3.9116977599999245,10.0,9.979249000549316,1.2242687940597534,0.04063465707308715,0.1036415386388434,5.062550020764709e-05
4.002480744999957,10.0,10.025025367736816,0.7830052375793457,-0.9193591162768505,0.1849701862485631,-0.00114540194219584
4.093322174999912,10.0,9.994507789611816,0.9815728068351746,-2.0622088464553476,0.045580009958072765,-0.002569244135533324
4.184086825999998,10.0,10.040284156799316,1.2206844091415405,-0.23364927816975217,0.11510154058786526,-0.0002910966261933492
4.274921125999981,10.0,9.902955055236816,1.3629944324493408,4.5206055993727965,0.11753704943211929,0.005632086898090587
